address,suburb,price,sale_date,beds,baths,parking,land_size_sqm,property_type
"35/17 Warby Street, Campbelltown",Campbelltown,515000,2026-08-26,2,1,1,,Apartment
"66/17 Warby Street, Campbelltown",Campbelltown,522000,2026-08-26,2,1,1,,Apartment
"8/30 Broughton Street, Campbelltown",Campbelltown,637595,2026-08-24,2,1,1,,Townhouse
"5/32 Broughton St, Campbelltown",Campbelltown,620000,2026-08-17,3,1,1,,House
"11/39 Chamberlain Street, Campbelltown",Campbelltown,610000,2026-08-14,2,2,1,,Apartment
"16 Austin Avenue, Campbelltown",Campbelltown,980000,2026-08-11,4,3,1,670,House
"12 Valinda Crescent, Campbelltown",Campbelltown,950000,2026-08-10,3,1,1,645,House
"309/38-42 Chamberlain Street, Campbelltown",Campbelltown,570000,2026-08-07,2,2,1,,Apartment
"34/12-20 Tyler Street, Campbelltown",Campbelltown,715000,2026-08-04,3,2,2,,Apartment
"65/18-22 Broughton Street, Campbelltown",Campbelltown,650000,2026-08-04,2,2,1,,Apartment
"10/1-3 Parc Guell Drive, Campbelltown",Campbelltown,817500,2026-07-29,3,2,1,,Apartment
"46 and 46a Farnsworth Avenue, Campbelltown",Campbelltown,1185000,2026-07-27,5,2,2,734,House
"6/105 Broughton Street, Campbelltown",Campbelltown,575000,2026-07-24,3,1,1,,House
"88 Goldsmith Avenue, Campbelltown",Campbelltown,890000,2026-07-24,3,2,1,177,Semi-detached
"2/19 Chamberlain Street, Campbelltown",Campbelltown,363000,2026-07-23,2,1,1,1233,Apartment
"40 Waminda Avenue, Campbelltown",Campbelltown,930000,2026-07-22,4,1,1,554,House
"63/39 Chamberlain Street, Campbelltown",Campbelltown,533000,2026-06-04,1,1,1,,Apartment
"14/3-9 Warby Street, Campbelltown",Campbelltown,490000,2026-05-13,1,1,1,,Apartment
"6/17 Warby Street, Campbelltown",Campbelltown,475000,2025-07-15,1,1,1,,Apartment
"57/26 Tyler Street, Campbelltown",Campbelltown,600000,2026-03-13,2,2,1,,Apartment
"4 Grandview Drive, Campbelltown",Campbelltown,860000,2024-02-06,4,1,0,,House
"7 Mereil Street, Campbelltown",Campbelltown,803000,2023-11-20,4,1,2,714,House
"27 Megalong Crescent, Campbelltown",Campbelltown,952000,2023-11-18,4,2,2,683,House
"10 Carcoola Street, Campbelltown",Campbelltown,855000,2023-10-31,4,2,2,562,House
"1 Colo Place, Campbelltown",Campbelltown,875000,2023-10-25,4,2,1,689,House
"7/93 Broughton Street, Campbelltown",Campbelltown,615000,2025-01-06,2,2,1,146,Townhouse
"4/93 Broughton Street, Campbelltown",Campbelltown,620000,2024-11-04,2,2,1,,Townhouse
"6/93 Broughton Street, Campbelltown",Campbelltown,640000,2024-11-04,3,2,1,,Townhouse
"13/10-18 Allman Street, Campbelltown",Campbelltown,555000,2024-11-04,2,1,1,,Townhouse
"4/55 Sturt Street, Campbelltown",Campbelltown,595500,2024-11-01,2,2,1,,Townhouse
"2/51 George Street, Campbelltown",Campbelltown,565000,2024-07-04,2,2,1,,Townhouse
"1/19 Stewart Street, Campbelltown",Campbelltown,542000,2024-06-24,2,1,1,200,Townhouse
"3/142 Lindesay Street, Campbelltown",Campbelltown,790000,2024-04-23,3,2,1,,Townhouse
